Course, From, Skill
Introduction to TensorFlow for Artificial Intelligence  Machine Learning  and Deep Learning, DeepLearning.AI, Machine Learning  Tensorflow  Artificial Neural Networks  Computer Programming  Machine Learning Algorithms  Deep Learning  Machine Learning Software  Applied Machine Learning  Human Learning  Computer Vision
Web Design for Everybody: Basics of Web Development & Coding, University of Michigan, Front-End Web Development  HTML and CSS  Web Design  Web Development  Web Development Tools  Computer Programming  Semantic Web  User Experience Design  Full-Stack Web Development  Interactive Design  Programming Principles  Computer Programming Tools  Visual Design  Javascript  Computational Logic  Design and Product  Strategy  Strategy and Operations
SQL for Data Science, University of California  Davis, Critical Thinking  Data Analysis  Data Management  Database Administration  Database Design  Databases  Problem Solving  SQL  Computational Logic  Data Model
Probability & Statistics for Machine Learning & Data Science, DeepLearning.AI, General Statistics  Probability & Statistics  Statistical Analysis
Google UX Design (PT), Google, User Experience Design  Product Design  User Experience  Visual Design  Collaboration  Research and Design  Design and Product  Interactive Design  Graphic Design  Web Design  Persona Research  User Research  Mobile Development  Product Development  People Analysis
Calculus for Machine Learning and Data Science, DeepLearning.AI, Machine Learning  Calculus  Differential Equations  Mathematics  Machine Learning Algorithms  Regression  Algebra  Algorithms  Artificial Neural Networks
Object Oriented Programming in Java, Multiple educators, Computer Programming  Java Programming  Algorithms  Data Structures  Problem Solving  Programming Principles  Computational Thinking  Computer Programming Tools  Critical Thinking  Software Engineering  Computational Logic  Data Analysis  Visualization (Computer Graphics)  Software Testing  Computer Graphics  Cryptography  Data Analysis Software  Strategy
Introduction to Cyber Security, New York University, Security Engineering  Cyberattacks  Network Security  System Security  Security Strategy  Computer Networking  Security Software  Computer Security Models  Network Architecture  Strategy  Cryptography  Problem Solving  Software Security  Algorithms  Computer Security Incident Management  Critical Thinking  Operational Analysis  Computational Thinking  BlockChain  Cloud Computing  Mobile Security
Customer Service Fundamentals, Knowledge Accelerators, Communication  Customer Support  Leadership and Management  Problem Solving  Customer Relationship Management  Customer Success  Strategy  Adaptability  Critical Thinking  User Experience
Google IT Support, Google, Leadership and Management  Business Analysis  Design and Product  Strategy  Strategy and Operations  Decision Making  Data Analysis  Cloud Computing  Databases  Network Security  Data Management  Security Software  Communication  Computer Networking  Critical Thinking  Business Development  Planning  Operating Systems  Linux  Problem Solving  System Software
Exploratory Data Analysis for Machine Learning, IBM, Data Analysis  Exploratory Data Analysis  Machine Learning  Statistical Machine Learning  Feature Engineering  General Statistics  Probability & Statistics  Statistical Analysis  Computational Thinking  Databases
Marine Biology, American Museum of Natural History, Network Security  Security Engineering  System Security  Computer Networking  Computer Security Incident Management  Software Security  Computer Security Models  Mobile Security  Cyberattacks  Security Software  Internet Of Things  Network Architecture  Cloud Computing  Critical Thinking  Kubernetes  Regulations and Compliance
C Programming for Everybody, University of Michigan, Network Security  Security Engineering  System Security  Computer Networking  Computer Security Incident Management  Software Security  Computer Security Models  Mobile Security  Cyberattacks  Security Software  Internet Of Things  Network Architecture  Cloud Computing  Critical Thinking  Kubernetes  Regulations and Compliance
Cybersecurity Attack and Defense Fundamentals, EC-Council, Network Security  Security Engineering  System Security  Computer Networking  Computer Security Incident Management  Software Security  Computer Security Models  Mobile Security  Cyberattacks  Security Software  Internet Of Things  Network Architecture  Cloud Computing  Critical Thinking  Kubernetes  Regulations and Compliance
Akamai Customer Consulting and Support, Akamai Technologies  Inc., Computer Security Incident Management  Mobile Security  Network Architecture  Network Security  Risk Management
Digital Signal Processing, École Polytechnique Fédérale de Lausanne, Mathematics  Mathematical Theory & Analysis  Algebra  Linear Algebra  Plot (Graphics)  Algorithms  Applied Mathematics  Critical Thinking  Calculus
Akamai Network Engineering, Akamai Technologies  Inc., Computer Security Incident Management  Mobile Security  Network Architecture  Network Security  Risk Management
Natural Language Processing with Attention Models, DeepLearning.AI, Natural Language Processing
Embedding Sensors and Motors, University of Colorado Boulder, Computer Programming
IT-підтримка від Google, Google, Computer Networking  Network Architecture  Network Model  Network Security  Networking Hardware  Network Analysis  Software-Defined Networking  Cloud Platforms  Database Application  NoSQL  Security Engineering  System Software  Database Administration  Leadership and Management  Linux  Cloud Standards  Critical Thinking  Computer Security Incident Management  Cloud-Based Integration  Communication  Customer Support  Human Computer Interaction  Computational Thinking  Problem Solving  SQL
Suporte em TI do Google, Google, Computer Networking  Computer Architecture  Network Security  Communication  Customer Support  Network Architecture  Operating Systems  Networking Hardware  Security Engineering  Network Model  Cloud Computing  Software As A Service  System Security  Theoretical Computer Science  Network Analysis  Software Security  Cryptography  Security Software  Human Computer Interaction  Computer Security Incident Management  Linux  Problem Solving
Algorithmic Toolbox, University of California San Diego, Algorithms  Computer Programming  Problem Solving  Theoretical Computer Science  Computational Thinking  Critical Thinking  Computer Programming Tools  Computational Logic  Data Structures  Mathematics  Software Testing
Teach English Now! Second Language Reading  Writing  and Grammar, Arizona State University, Writing  Planning
Speak English Professionally: In Person  Online & On the Phone, Georgia Institute of Technology, Communication
Introduction to Technical Support, IBM, Customer Success  Strategy and Operations  Communication  Customer Support  Information Technology
American Contract Law I, Yale University, Contract Management
Ingeniero en base de datos de Meta, Meta, Algorithms  Computer Science  Communication  Data Structures  Javascript  Problem Solving
Coding Interview Preparation, Meta, Algorithms  Computer Science  Communication  Data Structures  Javascript  Problem Solving
Data-driven Decision Making, PwC, Big Data  Business Analysis  Data Analysis  Data Management  Data Visualization  Decision Making  Critical Thinking  Customer Analysis  Data Analysis Software  Data Structures
